commodity_code,commodity_description,duty_expression,standardised_commodity_code
1514000000,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified
-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
-	for fitting to or equipping such ships, boats or other vessels;
-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
-	for equipping the above platforms;
-	for linking these drilling or production platforms to the mainland",0.0%,1514000000
1514111000,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified
-	Low-erucic-acid rape or colza oil and its fractions
-	-	Crude oil
-	-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1514111000
1514191000,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified
-	Low-erucic-acid rape or colza oil and its fractions
-	-	Other
-	-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1514191000
1514911000,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified
-	Other
-	-	Crude oil
-	-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1514911000
1514991000,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified
-	Other
-	-	Other
-	-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1514991000
1515110000,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified
-	Linseed oil and its fractions
-	-	Crude oil
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,1515110000
1515190000,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified
-	Linseed oil and its fractions
-	-	Other
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,1515190000
1515191000,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified
-	Linseed oil and its fractions
-	-	Other
-	-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1515191000
1515210000,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified
-	Maize (corn) oil and its fractions
-	-	Crude oil
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,1515210000
1515211000,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified
-	Maize (corn) oil and its fractions
-	-	Crude oil
-	-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1515211000
1515290000,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified
-	Maize (corn) oil and its fractions
-	-	Other
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,1515290000
1515291000,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified
-	Maize (corn) oil and its fractions
-	-	Other
-	-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1515291000
1515301000,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified
Castor oil and its fractions
For the production of aminoundecanoic acid for use in the manufacture of synthetic textile fibres or of artificial plastic materials",0.0%,1515301000
1515309000,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified
-	Castor oil and its fractions
-	-	Other
		-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
		-	for fitting to or equipping such ships, boats or other vessels;
		-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
		-	for equipping the above platforms;
		-	for linking these drilling or production platforms to the mainland",0.0%,1515309000
1515500000,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified
-	Sesame oil and its fractions
	-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
	-	for fitting to or equipping such ships, boats or other vessels;
	-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
	-	for equipping the above platforms;
	-	for linking these drilling or production platforms to the mainland",0.0%,1515500000
1515501100,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified
-	Sesame oil and its fractions
-	-	Crude oil
-	-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1515501100
1515509100,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified
-	Sesame oil and its fractions
-	-	Other
-	-	-	For technical or industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1515509100
1515900000,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified
-	Other
	-	for incorporation in ships, boats or other vessels listed in Table 1, for the purposes of their construction, repair, maintenance or conversion;
	-	for fitting to or equipping such ships, boats or other vessels;
	-	for incorporation, for the purposes of their construction, repair, maintenance or conversion, in drilling or production platforms listed below: fixed, of subheading ex 8430 49 or floating or submersible of subheading 8905 20;
	-	for equipping the above platforms;
	-	for linking these drilling or production platforms to the mainland",0.0%,1515900000
1515902100,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified
Other
Tobacco-seed oil and its fractions
Crude oil
For technical or industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1515902100
1515903100,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified
Other
Tobacco-seed oil and its fractions
Other
For technical or industrial uses other than the manufacture of foodstuffs for human consumption",0.0%,1515903100
